ID,Age,DaysSinceCreation,NameHash,DocIDHash,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
18752,54,770,0x1823608B3762D06EFF37DFAF943A70993BA21EFB1B90845CD780E078BE13D3E1,0x16359569F207A982E8814D2BAD3B35AB577861C298EDB459061B9408E3BA4694,80,324,63,0,0,1,9,3,773,773,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,0
65848,12,155,0xDBB88D64BC9B08F1EFE1E4BE1C90DE080B4A97DE2554CD2AC69183F5BC6A8261,0x3FEC57FFE4DC83114A3AC80F2FA626241F0DC00B369726A562829BB017E8BB36,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
75885,13,81,0x5A9F12B79B1DAB859AB8B24F929A8A8CB63DBB25D2669D7D6CE608B4F77EEE4F,0xBBCA1EB7CEE0F55F91944EE33D827166A7B315D004610A57864E2F29E9AFD408,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
12845,28,859,0x810671F12EB249811948B9ED9FFFB03E0C51EC067A86F83164943AAB206A9110,0x5B059897AB37859CD96C36FC81E67C282D8F8207012D57F2D399F857C1A5CA2D,3,139,2,0,0,1,2,1,860,860,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
23065,61,674,0xB9CF5B494B0220E36A939B57D74C579C844C3741185A408060B0C9B5BDB543D1,0xA43BE4137542954D941DEB8A604CC0038923D4CBE43CC2FE30554B9CC4378BAA,34,1044,202,0,0,1,12,6,680,680,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
80657,55,38,0xB08FE0E0A79D2C3F5D49034F8EAC5F5F0F2ECD6E816AD30B56EC720B9131C217,0xFA0DDE2C86C759415105FC46297364B4AFF87D66BB5E2C9B288BDC642FB11543,1,222,31,0,0,1,3,3,41,41,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
37333,60,462,0x8F294691B39A694FD542DAD57244326E95E09C6B68498F7432A59ABCC81B70CC,0xD2E71E56F5551131798DDB9A4D779DA5768F3C3D874E33260F45370F8690A84F,121,336,66.5,0,0,1,4,2,464,464,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
31982,NULL,541,0x061B8C62B0D872FE7EA8E2735BDD84C2758FCE304683E1A9E074FE86884512F9,0x5FA1E0098A31497057C5A6B9FE9D49FD6DD47CCE7C268E6548699E78E587AAEA,214,385.5,70,0,0,1,10,5,546,546,Direct,Direct,0,0,0,0,0,0,0,0,1,0,0,0,0
5488,51,975,0xA30EC20DB26B016FBDA5C37CC7E04825E69C5A16B8042DC40332A921DDA3F473,0xDDFB6790ED1279DB81C078E5997119412205A66896D766F722A7BF8AF8CEA992,30,343.8,86.1,0,0,1,6,3,978,978,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
45644,58,322,0xC583E9406790B350F51BEEA2A978576E21106D45B6A9F0B2C908CA706C44CB8B,0x2027E9F10322B7688A8C0031605CA2112B4B2CA4818434B00C5414169F3B1D58,2,327,36,0,0,1,6,3,325,325,Travel Agent/Operator,Other,1,0,0,0,0,0,0,1,0,0,0,0,0
13271,57,852,0xB3F5E396C44D135AEF57E5547FDA9C158822E62C84B5BD2305C67A31124AB5A6,0xD5E616644B9188E8CEE3F93A2964D29F6040754B767C01515D42735D6CDE98D7,66,127.5,30.99,0,0,1,4,2,854,854,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
19917,55,747,0x113A5B35224D996F456640C2CB1686C90C61946AE675303960FD5367DA34E5C6,0xFEC197A3F9706C9A672985193AC80193C2053286A7F75EB09AAF6FA8C4C24FF0,7,73,54.5,0,0,1,1,1,748,748,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
72028,24,109,0x2A1098019B3392A80F9E4668740E09346A405364C26CCCD3106B1C40DDDD95F4,0xE315BADCA0DB84A7DE686A13188A8CB11631D6B756CCFD8914DB872C39DAB6BD,27,205,31,0,0,1,3,1,110,110,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,0
23879,37,661,0x3541CB1FBD4B6781A2B6B731DC1F5032FA5E2D832108F4651AA67A0350DBE795,0x8991011C4795C0C2A41E01B8F377099493CFAE22A8D22DF8D6F8D78E5AD6B654,0,480,70,0,0,1,2,1,662,662,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
46337,7,316,0x5C3D9E67EA023CC6955D31D1E11E71686D49FA3806964960724D0CB6F6382073,0xCE3ACD962D8CB05260D405791545DA715338E29B815216A47D99C8019661EBF2,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
14566,14,834,0x8EDF9D02F64AE70A7397C39437EFCBAEDEA4D54964F4AC02F2345783B03AD35F,0xD10CDA46081EE2CC81BCF0E2C1E2D66B0A62D34A6ECCFCDF8CF2B76B630D0776,22,442,48,0,0,1,8,2,836,836,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
81546,36,26,0xB36076B32B20743F4B957C0CD2437EB38D14A96349F4B13831B87F15009195FF,0xF8108FE443FBAE71BEB11CCC143ABFEC4FF4C47A3862951C07A9B27F19E0B444,6,103,7,0,0,1,1,1,27,27,Electronic Distribution,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
68180,60,136,0x727B9AD9092BE0891AB1FD48B7C23262B5D8BD81000BEC37DC1FF008787AB3C7,0x603056AA1939BCEC693C33F0E877652757C8EFAF10E09F7E1092741EAADE51D0,0,0,0,0,0,0,0,0,-1,-1,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
69827,29,125,0xFDF6D89AEE5939A754AA09658E1BABED470B72E9E2AF6CB6C6FF1AF3A5A351DC,0xC256D718F76C3CC8ED15E93D548837B9C96E7855582CF8B4D2A89D6709AE261F,238,452,86,0,0,1,12,4,129,129,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
77667,40,67,0xE419F21AC55049A64D51853808446765453B037246BA861EE148DE8C9395963E,0xDB6CB73E177B90A313F6B652625B0959D9F925E99739C6EB27E0035884709E62,1,394,388,0,0,1,4,2,69,69,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
14918,50,829,0xBD89C2BE329A69ED4345CC503BF65FFBD824B82E0B219FF914C4DD3FD159B730,0xA06A4188442F06D3B1D6CACB8D31C03B6CF14C57BE7BE5D1369518285830302A,20,452,57.6,0,0,1,4,4,833,833,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
27026,73,612,0xB87BE5B3E83ABDDC9CC174D2F895AFD98D55124D825284F9F567873C15907CAA,0x7FB199F233459ACA749BD46A9163193AB524EF5D886D900709284C76AE3DD25F,51,336,38.64,0,0,1,4,4,616,616,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
14707,75,832,0xD0C812A1D1C1BAC6331C9A26955A5998292C27800A215E6D0838AB63BBE1E8FD,0x0D2CCD960DCB17C16B1A692C8E2AA7B9FDA18E65283AB1EF14F6A95C3163B4CF,92,125.1,31,0,0,1,2,1,833,833,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,1
48180,36,297,0x0BD57FE90311CFDF9932CEC0E77BA61F3FACE87C9FEDEF7AF6ACE650F448C560,0x161E8BB5F01515464088B5388812907A56F26ED6113967DC44C7E4638A6A02C1,6,168,14,0,0,1,2,2,299,299,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
43688,26,351,0x880BAAAA8433C7B8AE34E2403D51AFFFB9CA14479B88B8FBD694618F92DB55E0,0x1A38611FF59B5AA9817150301F31E85DB67B4D85F6537CF32D1AD5BB52BD7CAF,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,0,1,0,0,0,0
77165,54,72,0xEF6E526783AFEA29220AAA495CC748F325497B80502FB65C8925242982A46BE3,0xE8DCB6331057A2C89F9864B25E86F9EC93E3A4DB0114777A103265BE9E9664EC,6,812.64,173.5,0,0,1,12,6,78,78,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
8272,50,929,0x93957ED133EF1AC090FF353011D58BFDED256B2EE93E958EC3CAA3B332280DB4,0xDF4025F28F1542BC9A26E2318849192D309065BED27FAC145A4687671524AFED,83,155.4,46,0,0,1,2,1,930,930,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
61550,NULL,186,0x1F0FCFE187A601B9D3E3104578B0B0714691587CC906CD8FC750BA38CE76D227,0x5FA1E0098A31497057C5A6B9FE9D49FD6DD47CCE7C268E6548699E78E587AAEA,0,173,16,0,0,1,2,1,187,187,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
34544,26,503,0xF2625F6DD263B9907256B82267FE15544527608F8B89C3DBBA33BA6172FC7166,0xBFF45841CC52F989D5D8078DE547A844DFB03C9E119B60B5F172D7916CFB180E,107,692,126.5,0,0,1,8,4,507,507,Travel Agent/Operator,Other,1,0,0,0,0,0,0,1,0,0,0,0,0
19096,55,765,0x0D3AE9D583455C451C7ED19E84BA1DB6E2F5A2B6121412E41799DB6E51B32C94,0x293AEC5036B60CB76D6678A12391FFDE0F8376F9F0E34E7D68FA486E42CB7BC8,308,295.2,24.5,0,0,1,3,3,768,768,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,1
2841,53,1024,0xDF91EF97109130C0BD5FFD7ECE7A71F0BE7CC86F3DC514B8ACC69C56676A5919,0xFDC59BBFAA7A79B6FD9C4E27342D81794F994C029042812E6E4035D78DDC9189,21,158,28,0,0,1,4,2,1026,1026,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
82389,40,15,0xA4266704AEC79A2418B1F01C01EBF7ED93356A78B528C034A09B99EE429870B2,0x33FC58A5CC53D276FF6D19426E9A15EA65B31CEA70B2AC883A52CD8A43D264E8,0,109,2,0,0,1,2,1,16,16,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
51079,54,270,0xB0B2C0265F460BFE9AFBFDB8713393EF20180744272D1B3F65481604727F462F,0x340D1572283422884DC7E7B2E7B8BDEA561287DD0EC8770C2341B6E80A7C6C10,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
64253,65,166,0x0357752889A14F8D273C242180DEC9E4A7E8C01C834292D0F7841695BD314F6A,0x1D85F21BAF45D1DC7D221957B2F515CC16C9CF5DF91F9CD1E66FB712F976B8FA,62,5418,7,0,0,1,42,42,208,208,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
68047,NULL,137,0xC9383EB9FABCF5001F934261CBE3FD63972FC3AD2058D6F9667B4CF3A3CD9D85,0x42700EC0327C05BBDC89A6F7B9AE898460A0954B85DAE1FEB93176559E89DD70,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
8432,NULL,927,0x9B299596C0186F858B31BA1AAB8531F476A349A8318F3570849AF1B5C3203029,0x5FA1E0098A31497057C5A6B9FE9D49FD6DD47CCE7C268E6548699E78E587AAEA,0,119,9,0,0,1,2,1,928,928,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
75166,54,86,0xD51A3A3441EB4AC58E41266E8C86AEF146B46234F00FBE3512F20239CD3D76AA,0x57AAC850415D15F6D3167F0D535B8ABC2C63B1E9E743BFB5D343ABA404FBEE0F,149,278.64,12,0,0,1,6,3,89,89,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
9661,56,907,0x1DDAD593FF724C06422B931F471954972D666D0C01C89F209F9B41CE43849779,0x6AC53BDB35F4E51EEFB86970BA1811E178D1A05BEE10F13ED2CAC195D7AA4E28,1,106.42,7,0,0,1,1,1,908,908,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
75875,41,81,0xD572974791064D0209498005D9CB274725791DEA1F598F2E0EAE12FF33551A67,0x1015F5834C87BED4DE7F2D6DBF0D5CC7C62B8D9091EF4ED55014524580A1BFE9,6,979,80,0,0,1,2,2,83,83,Travel Agent/Operator,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
12269,59,867,0x5B12CA92B449FB2027348DA157E382C346469C16E9CA96E97C807CBAB17E9EC6,0x58224916B28A738D016C6806322022C87B65395BA62B8F194FACCE0928BC7BF0,0,195,35,0,0,1,2,1,868,868,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
1702,40,1043,0x90EC8E3F5BB6F6E4E0D8F97472494B525A700D417AC928ABE4688134221BADFB,0xA754BD8F5F9FF059EA2429E646CC970B865CAFD59C2BDCE53E404A841916EC5D,4,222,21,0,0,1,3,3,1046,1046,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
70492,25,120,0x1EF343C17B3AF0D85AB4343A5E09F7CC1FB7D64CBFD16A84CFAF5F3AA4FB344D,0xBCD5EB4D30C8DDFF5E67402C819DF40E359BD2272D442F57F5A4980900DDEB49,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
33344,50,522,0xB0ABC05D782E701A3C9590FB86E49E881BB0ADC42D805175FB07CDA9EF83E8C0,0x4531CEAB145F601C7B06459B9024FB4B0BFDA0AB0C81C0C2287C34311EF9C3A4,381,220.7,74.4,0,0,1,4,2,524,524,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
58738,48,208,0x0129E4CADE490012262149DA8EB24AE92257F029AFD854EF6B404B8D33902FA1,0x08BFEDB13F7B6D829D3097E0057A7CD09D4D361E9485A0D0BA3137564683AEC0,11,94,17,0,0,1,1,1,209,209,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
16310,68,809,0x4AD354A81094DE10E289F1FA1494CD559F021CE38112C152DC20934F97836FB3,0xE58465DD729829FBAD569C2BF1B4E252E3F68B4B686357AD99C04B5D1026ADCD,180,342,21,0,0,1,3,3,812,812,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
11631,61,877,0x745F43123AC140285EA2EEF502C7518AB9CBD28F532A2EC69CE997A9D38092B6,0x19E295818AD0E0CA5C50E6D666D27FB739B5354B91B73278E4421A55CA809C99,4,168.5,19.5,0,0,1,3,1,878,878,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,0
8889,NULL,920,0xF5CE56A5683A3DD3E4A25830FFFFCE5CB8A165B51B8FCA2E52C6FBB183E34FAD,0x2D11604D73D4874F5D21B802F74D65ADC239CA4CAD815D25FACD35D6AA796BF1,19,176,28,0,0,1,4,2,922,922,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
75061,13,86,0x4AC24E736A29A4EFE8A4DA8A6692779D87B65F086887A712A6280A619EE91473,0x34852C7A311DD6A8AF9CEA9D6718FEAC97B9A13D67698937338D9CC7DE237541,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,1,0,0,0,0
57111,64,221,0xAE74853C2FEF01FCF2C3451C6D6B2DF76CFBC5E9129E323A662FFA9EE80ACE04,0x329FE4F9C69C2EFE52D82CAC94F51BCC3BFC17F8886C70EC39C4625BB177E088,90,208,14,0,0,1,2,2,223,223,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
48187,31,297,0x469F0E794234CACD1C336146752428165725A03E2AD8C948B17A3B3C78FAE7E7,0x720B787F517E5952F7E7C2FCAD44D1173A40265180BF6D8925B67D1525836C5C,23,168,14,0,0,1,2,2,299,299,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
30453,76,563,0xA819EB4820B390805F4F4CAECE2375FE3FBB19B31B1152C4A1AF90FD30051FEC,0xB81B47F4B02CFE335B8EF88E882F395178B19942D44C77898C5ED6384AC6A75F,147,320.4,139,0,0,1,8,4,567,567,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
32880,43,528,0x0A26005F92421AFC1D448FF6B6523D0A446E6A1308CB6243DE3C2DEE64FABC87,0x859545F9459760044C612A874352DA34E198F2FED1D8E5CCD07E5B06FF211B95,180,376.4,74,0,0,1,12,4,532,532,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
14125,64,839,0xB80F0993A006A912BB4EC5F740C3DFD8EF2EA3CD23193DBB9E99E6ABF6E81408,0x73D5F101415A93A6423D56E04DA7AD2045ECD172A39481BA21ED9AD509D525E5,2,135,22,0,0,1,2,1,840,840,Travel Agent/Operator,Other,1,0,0,0,0,0,0,1,0,0,0,0,0
1352,24,1051,0x37F7DF23D9A556399DF35357108C03E70AF750DF7EE083DA718EF635B05FBE14,0xAC92064D3C7B16F987E6EA89723EC2EA2A088A0A660339ADA7810EF9D5CC62E9,11,83,14,0,0,1,2,1,1052,1052,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
55048,45,239,0xD12673A40292A27CE2DFBE6F580FEEA6DC4EFC32E0A37E7FDF3BD8E737C7816B,0xF61C0617CC1E4637581EE71DFC685C7E92E77CFECFE224A3605DC8D8F2BC653C,314,452,75,0,0,2,8,4,232,242,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
78094,77,64,0x5E73C907BB7B9F65D630C0C247F424B081AF89E935CE71D2455C6AA085A0DBE8,0x48CA77495D44FCB3431B5EDA7BED37F5BE34DD5489953131E4E8DEE5083760D3,0,0,0,0,0,0,0,0,-1,-1,Direct,Direct,1,0,0,0,0,0,0,1,0,0,0,0,0
11925,46,872,0x5E9E24C0CA411EC98DE1F7F069B8A0FADC4CC2C88DADBD21B6B1BAF368B0D672,0xD68622759EC5E53D2A8400AFECBE109866BECC16371FC6E777B4EA57A76E6FA6,87,396.9,124,0,0,1,9,3,875,875,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
70372,23,121,0x6F2F3C8FB79616F1316217F7FEA42C9422F17351D946D40860D5ADE8A4B878D0,0x2B0D4A67B69632C19AB9D54DF582D952F61E92315A2A7CC1767E92708F773231,64,137,43.5,0,0,1,2,1,122,122,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,1
53040,56,255,0x0F6F5F9AE604EFA28E8C395745C148C199DC84D76F60AD0DE6CB6AB7D3F0561D,0x003F62F0BCD3524EBF85187FC2D87D8422EBBB7983CDE1C8027A03C15F2BC65E,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
2451,68,1029,0xDE1BC2DF4F0C456C794357169B140B197673C80340E25AB8269AD8DA191A409A,0x8C16F88D8FDD8CDD9C8D14C9F35DCB9403000BEEE37F4B75F8D0904897875DEB,46,225.9,69,0,0,1,6,3,1032,1032,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
77759,81,66,0x4312E03F5F8199ADDF8FB0BD623D5887C1BE79AB8A67EE1290FE02937193EF70,0xA0E65954A521E8D7AD872D5E826A751B12203675318B64B6A34F0EA22119B4E8,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,0,1,0,0,0,0
59771,45,200,0x25CF5653950D385198D7F91F974236627C3148E3EFB3DA65AEEB3FF145D0650D,0xD310DDD1A5045CADC4245FDB44412EC1E882D82164664610786DC7C48D70149F,7,149,7,0,0,1,1,1,201,201,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
42300,52,386,0xF66CC084E71C42EA38E1CAB369DB632665274988D70B348C176E381E492C32D7,0x65521D7B9A79BCF0CB5875F831EA525EE920BFD0646C065D66406DFF5CA2D254,11,294.2,60,0,0,1,6,2,388,388,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
46782,50,311,0xE2C369DB37B32B464D7767C583E58701DDE865AC25707347CF87EB74A7B16C28,0x1C5CFDF5C0F71A6C65212D1CB1489082A537F84E7F3D6CBDE7EDA4B722F179E6,30,88,14,0,0,1,2,1,312,312,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
49505,45,283,0xD9F84D276C0E9F1D6A118A7289655F08965E88DA9E1839452011A344B124B514,0xBDAB7B83DA333C87B267F970987EF2B0609FF1575C2D7441838EEF98CDA8E1AE,33,198,105,0,0,1,4,2,285,285,Travel Agent/Operator,Other,1,0,0,0,0,0,0,1,0,0,0,0,0
54625,32,242,0x7D4D3F95E51AA9BF516387DFD364C3AEB2713787A9719616A61079A34FC66C9F,0xE0E1E65AF07170FDB17BEA34DE28A8A845B860D726C88D6588948DCAA9AC2E9B,92,84.6,2,0,0,1,2,1,243,243,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
66999,47,145,0xE68509D45C2034DCFC266E8ACD6D9037A337FEEF48C6E73A33AC50224D4C36DD,0x122A27E04CD9FF987D5D3CB3DA7143518AE0279B9157374752E689CBC59C87C1,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Other,1,0,0,0,0,0,0,0,0,0,0,0,0
58702,54,209,0x59B270A1387F9F0C7B4825DA0DEF25EBFCC72594CBB55B95B7F719CBB9458710,0x7546F45E7057AD348F1B3668249367C67C7DBCE5E9DB0F160C1EBEE640941841,142,822,225,0,0,1,4,2,211,211,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
49860,35,280,0x8AB9204A5CAEE4086A7935E06C84B00F7DD6748B9431DA0521088C5A35F30A9A,0x68715806A74E7E8BED3DEFCEDD6F60B173A14541B16443551F4B08B29D898A5E,0,0,0,0,0,0,0,0,-1,-1,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
